,Country Name,Country Code,Year,Number of Arrivals,Outbound Visitor Expenditure (current US$),Number of Departures,Inbound Visitor Expenditures (current US$)
120,Czechia,CZE,2011,22810000.0,4876000000.0,5279000.0,8930000000.0
121,Germany,DEU,2011,28374000.0,99909000000.0,84692000.0,53465000000.0
122,Denmark,DNK,2011,25811000.0,9840000000.0,7846000.0,6366000000.0
123,Dominican Rep.,DOM,2011,4654000.0,689000000.0,408000.0,4391000000.0
124,Algeria,DZA,2011,2395000.0,595000000.0,1715000.0,300000000.0
125,Ecuador,ECU,2011,1141000.0,917000000.0,1022000.0,849000000.0
126,Egypt,EGY,2011,9845000.0,2575000000.0,4863000.0,9333000000.0
127,Spain,ESP,2011,99187000.0,,15944000.0,
128,Estonia,EST,2011,4907000.0,,1054000.0,
129,Finland,FIN,2011,4192000.0,6013000000.0,8238000.0,5615000000.0
130,France,FRA,2011,196595000.0,55509000000.0,31153000.0,66133000000.0
131,United Kingdom,GBR,2011,31886000.0,,67493000.0,
132,Georgia,GEO,2011,2712000.0,384000000.0,2237000.0,1069000000.0
133,Guatemala,GTM,2011,1434000.0,883000000.0,718000.0,1077400024.41406
134,Hong Kong,HKG,2011,41921000.0,19022000000.0,84816000.0,33169000000.0
135,Honduras,HND,2011,1852000.0,446000000.0,1092000.0,641500000.0
136,Croatia,HRV,2011,49969000.0,918000000.0,5526000.0,9598000000.0
137,Hungary,HUN,2011,41304000.0,3048000000.0,16634000.0,7239000000.0
138,Indonesia,IDN,2011,7650000.0,8653000000.0,6750000.0,9038000000.0
139,India,IND,2011,6309000.0,,13994000.0,
140,Ireland,IRL,2011,7630000.0,6842000000.0,6514000.0,9532000000.0
141,"Iran, Islamic Rep.",IRN,2011,3354000.0,10555000000.0,,2489000000.0
142,Iceland,ISL,2011,628000.0,,341000.0,
143,Israel,ISR,2011,3362000.0,4874000000.0,4387000.0,5886000000.0
144,Italy,ITA,2011,75866000.0,,52617000.0,
145,Jamaica,JAM,2011,3077000.0,213000000.0,,2060000000.0
146,Jordan,JOR,2011,6813000.0,1280000000.0,1931000.0,4351000000.0
147,Japan,JPN,2011,6219000.0,39760000000.0,16994000.0,12533000000.0
148,Kazakhstan,KAZ,2011,5685000.0,1831000000.0,8020000.0,1524000000.0
149,Kyrgyzstan,KGZ,2011,3025000.0,392000000.0,3061000.0,405000000.0
150,Cambodia,KHM,2011,2882000.0,344000000.0,710000.0,2258000000.0
151,South Korea,KOR,2011,9795000.0,22195000000.0,12694000.0,17329000000.0
152,Kuwait,KWT,2011,5574000.0,8879000000.0,,644000000.0
153,Laos,LAO,2011,2724000.0,248000000.0,1788000.0,413000000.0
154,Lithuania,LTU,2011,4504000.0,,4020000.0,
155,Latvia,LVA,2011,5538000.0,,3257000.0,
156,Macao,MAC,2011,28002000.0,1064000000.0,908000.0,31118000000.0
157,Morocco,MAR,2011,9784000.0,2260000000.0,2378000.0,9101000000.0
158,Mexico,MEX,2011,75732000.0,9704000000.0,88113000.0,12458000000.0
159,Malta,MLT,2011,1916000.0,,348000.0,
160,Myanmar,MMR,2011,816000.0,132000000.0,,334000000.0
161,Montenegro,MNE,2011,1201000.0,70000000.0,,926000000.0
162,Malaysia,MYS,2011,24714000.0,11136000000.0,,21338000000.0
163,Netherlands,NLD,2011,11300000.0,,18560000.0,
164,Norway,NOR,2011,4963000.0,16958000000.0,8130000.0,6565000000.0
165,New Zealand,NZL,2011,2617000.0,3461000000.0,2096000.0,7295000000.0
166,Oman,OMN,2011,1393000.0,1493000000.0,3341000.0,1515000000.0
167,Panama,PAN,2011,2004000.0,679000000.0,414000.0,3630000000.0
168,Peru,PER,2011,3299000.0,1768000000.0,2132000.0,2814000000.0
169,Philippines,PHL,2011,3917000.0,6055000000.0,,4053000000.0
170,Poland,POL,2011,60745000.0,8672000000.0,43270000.0,11471000000.0
171,Puerto Rico,PRI,2011,4214000.0,1202000000.0,924000.0,3143000000.0
172,Portugal,PRT,2011,7264000.0,4951000000.0,,14911000000.0
173,Paraguay,PRY,2011,3365000.0,308000000.0,347000.0,261000000.0
174,Qatar,QAT,2011,2057000.0,7813000000.0,,4463000000.0
175,Romania,ROU,2011,7611000.0,2294000000.0,10936000.0,2016000000.0
176,Russia,RUS,2011,24932000.0,37343000000.0,43726000.0,16961000000.0
177,Saudi Arabia,SAU,2011,15776000.0,18202000000.0,15865399.4140625,9317000000.0
178,Singapore,SGP,2011,13171000.0,21420000000.0,7753000.0,17929000000.0
179,El Salvador,SLV,2011,1634000.0,244000000.0,1469000.0,729000000.0
180,Slovenia,SVN,2011,2236000.0,1727000000.0,5073000.0,3048000000.0
181,Sweden,SWE,2011,11567000.0,,,
182,Syrian Arab Republic,SYR,2011,6476000.0,850000000.0,,1816000000.0
183,Thailand,THA,2011,19230000.0,7534000000.0,5397000.0,30924000000.0
184,Tunisia,TUN,2011,5746000.0,678000000.0,2303000.0,2529000000.0
185,Turkiye,TUR,2011,36769000.0,5372000000.0,6282000.0,30302000000.0
186,Ukraine,UKR,2011,24535000.0,4829000000.0,20335000.0,5406000000.0
187,Uruguay,URY,2011,3244000.0,797000000.0,1534000.0,2401000000.0
188,United States of America,USA,2011,147271421.875,130606000000.0,114089000.0,178935000000.0
189,Uzbekistan,UZB,2011,1393000.0,,,
190,Virgin Islands (U.S.),VIR,2011,2686000.0,,,1122000000.0
191,Vietnam,VNM,2011,6014000.0,1710000000.0,,5710000000.0
192,South Africa,ZAF,2011,12097000.0,8397000000.0,,10706000000.0
193,Zimbabwe,ZWE,2011,2423000.0,317000000.0,693000.0,164000000.0
194,Albania,ALB,2012,3514000.0,1374000000.0,3959000.0,1623000000.0
195,Andorra,AND,2012,7900000.0,,,
197,Argentina,ARG,2012,6497000.0,8466000000.0,8295000.0,5665000000.0
198,Australia,AUS,2012,6032000.0,35226000000.0,8212000.0,34137000000.0
199,Austria,AUT,2012,24151000.0,,10960000.0,
200,Azerbaijan,AZE,2012,2484000.0,2617000000.0,3874000.0,2634000000.0
201,Belgium,BEL,2012,7560000.0,22357000000.0,9576000.0,13704000000.0
202,Bulgaria,BGR,2012,8867000.0,1096000000.0,3758000.0,3975000000.0
203,Bahrain,BHR,2012,8062000.0,975000000.0,,1752000000.0
204,Bahamas,BHS,2012,5940000.0,384000000.0,,2333000000.0
205,Belarus,BLR,2012,6130000.0,948000000.0,8427000.0,986000000.0
206,Brazil,BRA,2012,5677000.0,26008000000.0,8497000.0,6623000000.0
207,Canada,CAN,2012,25318000.0,,65175000.0,
208,Switzerland,CHE,2012,8566000.0,18884000000.0,20293000.0,19564000000.0
209,Chile,CHL,2012,4397000.0,2400000000.0,3448000.0,3158000000.0
210,China,CHN,2012,132405000.0,,83182000.0,
211,Côte d'Ivoire,CIV,2012,289000.0,560000000.0,,172500000.0
212,Colombia,COL,2012,2434000.0,4461000000.0,3169000.0,4409000000.0
213,Costa Rica,CRI,2012,2542000.0,647000000.0,773000.0,2773000000.0
214,Cuba,CUB,2012,2847000.0,,213000.0,2614000000.0
215,Cayman Is.,CYM,2012,1829000.0,183000000.0,,489000000.0
216,Cyprus,CYP,2012,2635000.0,1318000000.0,1194000.0,2603000000.0
217,Czechia,CZE,2012,25750000.0,4556000000.0,5419000.0,8174000000.0
218,Germany,DEU,2012,30411000.0,96196000000.0,82729000.0,51626000000.0
219,Denmark,DNK,2012,26402000.0,9600000000.0,7843000.0,6135000000.0
220,Dominican Rep.,DOM,2012,4901000.0,690000000.0,418000.0,4687000000.0
221,Algeria,DZA,2012,2634000.0,598000000.0,1911000.0,295000000.0
222,Ecuador,ECU,2012,1272000.0,944000000.0,1022000.0,1039000000.0
223,Egypt,EGY,2012,11532000.0,3037000000.0,5678000.0,10823000000.0
224,Spain,ESP,2012,98128000.0,,14916000.0,
225,Estonia,EST,2012,5007000.0,,1147000.0,
226,Finland,FIN,2012,4226000.0,5841000000.0,9978000.0,5418000000.0
227,France,FRA,2012,197522000.0,50068000000.0,29642000.0,63975000000.0
228,United Kingdom,GBR,2012,32221000.0,,66858000.0,
229,Georgia,GEO,2012,4106000.0,471000000.0,2734000.0,1565000000.0
230,Guatemala,GTM,2012,1491000.0,926000000.0,721000.0,1110000000.0
231,Hong Kong,HKG,2012,48615000.0,20077000000.0,85276000.0,37098000000.0
232,Honduras,HND,2012,1903000.0,549000000.0,1072000.0,683700012.207031
233,Croatia,HRV,2012,47185000.0,962000000.0,5159000.0,8912000000.0
234,Hungary,HUN,2012,43565000.0,2457000000.0,16143000.0,6149000000.0
235,Indonesia,IDN,2012,8044000.0,9055000000.0,7454000.0,9463000000.0
236,India,IND,2012,6578000.0,14107000000.0,14920000.0,18340000000.0
237,Ireland,IRL,2012,7550000.0,5895000000.0,6600000.0,9255000000.0
238,"Iran, Islamic Rep.",IRN,2012,3834000.0,8435000000.0,,2483000000.0
239,Iceland,ISL,2012,765000.0,,358000.0,
240,Israel,ISR,2012,3520000.0,5008000000.0,4349000.0,6183000000.0
241,Italy,ITA,2012,76293000.0,,53338000.0,
242,Jamaica,JAM,2012,3306000.0,418000000.0,,
243,Jordan,JOR,2012,6314000.0,1257000000.0,1567000.0,5123000000.0
244,Japan,JPN,2012,8358000.0,40967000000.0,18491000.0,16197000000.0
245,Kazakhstan,KAZ,2012,6163000.0,3609000000.0,9066000.0,2154000000.0
246,Kyrgyzstan,KGZ,2012,3393000.0,529000000.0,3621000.0,486000000.0
247,Cambodia,KHM,2012,3584000.0,406000000.0,792000.0,2663000000.0
248,South Korea,KOR,2012,11140000.0,22934000000.0,13737000.0,18731000000.0
249,Kuwait,KWT,2012,5729000.0,10073000000.0,,780000000.0
250,Laos,LAO,2012,3330000.0,614000000.0,2052000.0,461000000.0
251,Lithuania,LTU,2012,4979000.0,,4108000.0,
252,Latvia,LVA,2012,5569000.0,,1830000.0,
253,Macao,MAC,2012,28082000.0,1155000000.0,1291000.0,36593000000.0
254,Morocco,MAR,2012,9830000.0,2095000000.0,2323000.0,8491000000.0
